"PH","NLP","LL","LW","NOST","NOSUP","CL","CC","CW","WOCM"
20,3,8,11.5,0,0,17,15,250,0
27,8,12,15,0,2,10,14,50,25
42,8,14,15,0,1,22,16,250,30
54,8,20.5,22.4,0,0,13,18,500,25
56,7,20.6,23.4,1,0,8,11,250,30
57,6,24.6,29.35,0,8,10,30,500,50
57,6,25.1,28.6,0,6,7,12,250,25
47,11,20.3,23,0,1,8,14,250,25
19,3,10,11,0,0,21,18,350,387
44,8,18.1,21.1,0,0,25,24.5,616,494
24,5,11,14,0,0,22,21,540,154
46,9,17.5,19,0,0,19,20,351,396
38,4,12,14,0,0,9,15.5,91,148
24.42,7,15,15.25,0,4,16,20,279,368
61.5,6,22,24.8,0,0,3,15,250,35
48,17,17.2,20,0,3,13,20,500,40
35,6,16,18,0,0,8,15,250,45
83,5,31.5,38.9,0,5,10,30,500,50
53,5,24.3,28.4,0,0,8,12,200,25
55,6,23.5,27.4,0,2,8,14,250,25
39,9,19,17,2,0,10,20,193,295
51,5,17.3,18.9,0,0,20.5,20,480,289
57.3,8,23,27.3,0,0,16,26,450,40
35,7,15,15.5,1,3,23,24,644,537
30,5,16,15.5,0,0,11,14,97,195
35,4,15.5,16.5,0,2,17,18,221,429
22.9,5,11,11.5,0,3,17,23,336,205
28.5,4,14.75,15.55,0,5,15,21,427,360
42,7,17,21,0,1,3,30,3,50
25,4,11,14,0,1,9,20,200,25
60,9,25.3,28.1,2,0,22,23,1850,50
48,12,23.6,24.3,0,2,16,20,500,30
83,5,31.5,38.9,0,5,10,30,500,50
25,5,11,15,0,0,8,14,250,25
67.5,6,23.3,28.8,0,4,12,30,300,25
29,4,13,13.5,0,1,22,19,486,178
40,3,16,18,0,0,15,19,197,306
35,6,15,17,0,0,14,17,134,5
34,4,16.5,15.5,0,0,21,21,440,209
42,6,18,21,1,0,16,19,214,73
29.75,6,12.15,14.45,0,3,16,17,227,220
44,7,16,18,0,0,16,15,200,25
60,7,21.1,21.6,6,0,8,13,250,30
25,4,9,11,0,0,24,22,649,233
17.25,4,8.2,8.65,4,4,12,19,211,38
22.25,5,9.53,10.66,0,4,13,17,130,203
37,8,16,16,0,0,24,24,678,482
75,7,24.5,27.9,0,2,22,16,250,30
47,7,19.8,24.2,0,0,7,14,250,25
52,4,18,20.5,0,3,12,30,300,25
33,5,17.5,18.5,0,0,8,22,500,50
53,6,23,27,0,0,9,15,500,0
37,6,19,22,0,0,11,25,500,0
32,6,15,17,0,0,12,24,750,0
52,4,18,20.5,0,3,18,30,1000,0
31,4,11,13,0,0,8,16,250,0
72,6,22.3,24.5,0,1,12,30,300,25
30,7,14,16,0,0,12,19,214,267
27,5,9,11,0,0,7,14,250,0
30,5,11.5,14.5,0,1,12,16,150,0
35,5,17,21,0,0,10,30,500,50
69,5,26.8,32,0,4,8,14,250,25
35,5,17,21,0,0,10,30,500,50
50,5,18.1,20.3,0,1,12,30,300,25
41.49,4,15.85,19.2,0,2,12,19,214,267
36,5,13,15,0,0,22,23,445,365
40,8,18.4,21.4,1,0,8,14,250,25
37,5,15,18,0,0,18,19,750,0
