ENV,GEN,REP,BLOCK,YLD
MKLN19,1,1,6,1566.782007
MKLN19,2,1,1,5599.307958
MKLN19,3,1,6,1921.199539
MKLN19,4,1,2,3140.392157
MKLN19,4,1,3,5496.655133
MKLN19,6,1,6,1361.245675
MKLN19,7,1,6,1097.439446
MKLN19,8,1,9,3520.138408
MKLN19,9,1,5,2242.399077
MKLN19,10,1,15,4568.16609
MKLN19,11,1,9,5933.656286
MKLN19,12,1,10,5138.823529
MKLN19,13,1,5,2767.935409
MKLN19,14,1,12,2090.242215
MKLN19,15,1,13,1916.862745
MKLN19,16,1,13,1684.290657
MKLN19,17,1,15,3028.28143
MKLN19,18,1,14,2800.692042
MKLN19,19,1,10,4065.051903
MKLN19,20,1,9,640
MKLN19,21,1,8,2365.582468
MKLN19,22,1,8,1676.355248
MKLN19,23,1,6,1684.290657
MKLN19,24,1,11,1655.132641
MKLN19,25,1,12,733.7024221
MKLN19,26,1,2,6668.512111
MKLN19,27,1,2,2806.459054
MKLN20,1,1,5,3552.479815
MKLN20,2,1,11,2895.686275
MKLN20,3,1,4,3307.266436
MKLN20,4,1,9,3520.138408
MKLN20,4,1,7,3770.149942
MKLN20,6,1,8,3816.33218
MKLN20,7,1,4,2525.767013
MKLN20,8,1,11,3245.951557
MKLN20,9,1,6,2477.508651
MKLN20,10,1,2,3272.987313
MKLN20,11,1,11,2234.740484
MKLN20,12,1,4,2946.943483
MKLN20,13,1,9,2726.366782
MKLN20,14,1,5,4050.749712
MKLN20,15,1,1,2729.457901
MKLN20,16,1,2,1369.411765
MKLN20,17,1,13,3427.2203
MKLN20,18,1,1,3332.964245
MKLN20,19,1,5,2389.573241
MKLN20,20,1,5,3007.797001
MKLN20,21,1,9,2992.941176
MKLN20,22,1,9,1851.903114
MKLN20,23,1,14,2087.658593
MKLN20,24,1,11,2308.927336
MKLN20,25,1,10,949.7116494
MKLN20,26,1,8,4901.407151
MKLN20,27,1,11,3840.138408
MKSTR20,1,1,5,6374.532872
MKSTR20,2,1,11,6025.743945
MKSTR20,3,1,4,5753.72549
MKSTR20,4,1,9,7559.677047
MKSTR20,4,1,7,4697.024221
MKSTR20,6,1,8,6521.799308
MKSTR20,7,1,4,4303.944637
MKSTR20,8,1,11,4702.191465
MKSTR20,9,1,6,2366.597463
MKSTR20,10,1,2,1311.00346
MKSTR20,11,1,11,5385.743945
MKSTR20,12,1,4,3347.635525
MKSTR20,13,1,9,3722.998847
MKSTR20,14,1,5,3735.178777
MKSTR20,15,1,1,2982.975779
MKSTR20,16,1,2,3266.435986
MKSTR20,17,1,13,6012.456747
MKSTR20,18,1,1,3032.802768
MKSTR20,19,1,5,3351.326413
MKSTR20,20,1,5,3633.679354
MKSTR20,21,1,9,2026.297578
MKSTR20,22,1,9,1995.294118
MKSTR20,23,1,14,2675.155709
MKSTR20,24,1,11,2710.588235
MKSTR20,25,1,10,3351.326413
MKSTR20,26,1,8,675.432526
MKSTR20,27,1,11,4409.504037
ABJSTR20,1,1,5,5159.861592
ABJSTR20,2,1,11,3229.527105
ABJSTR20,3,1,4,3440.756632
ABJSTR20,4,1,9,3862.145329
ABJSTR20,4,1,7,4681.522491
ABJSTR20,6,1,8,3347.561707
ABJSTR20,7,1,4,3739.238754
ABJSTR20,8,1,11,1973.148789
ABJSTR20,9,1,6,3343.944637
ABJSTR20,10,1,2,2716.493656
ABJSTR20,11,1,11,4635.017301
ABJSTR20,12,1,4,4017.16263
ABJSTR20,13,1,9,2973.010381
ABJSTR20,14,1,5,3731.1188
ABJSTR20,15,1,1,2648.802768
ABJSTR20,16,1,2,4030.449827
ABJSTR20,17,1,13,2125.287197
ABJSTR20,18,1,1,2939.792388
ABJSTR20,19,1,5,3834.685121
ABJSTR20,20,1,5,3095.916955
ABJSTR20,21,1,9,1644.290657
ABJSTR20,22,1,9,961.1072664
ABJSTR20,23,1,14,2361.430219
ABJSTR20,24,1,11,977.716263
ABJSTR20,25,1,10,689.8269896
ABJSTR20,26,1,8,1016.027682
ABJSTR20,27,1,11,3658.039216
MOKOPT19,1,1,5,10936.83968
MOKOPT19,2,1,1,9497.39331
MOKOPT19,3,1,6,10854.16378
MOKOPT19,4,1,2,9327.612457
MOKOPT19,4,1,3,8958.892734
MOKOPT19,6,1,6,9277.785467
MOKOPT19,7,1,6,10253.2872
MOKOPT19,8,1,9,9911.510957
MOKOPT19,9,1,5,11078.56978
MOKOPT19,10,1,13,8771.026528
MOKOPT19,11,1,9,10319.72318
MOKOPT19,12,1,9,9683.414072
MOKOPT19,13,1,5,9497.39331
MOKOPT19,14,1,11,9277.785467
MOKOPT19,15,1,12,8655.870819
MOKOPT19,16,1,12,9766.089965
MOKOPT19,17,1,14,8590.542099
MOKOPT19,18,1,13,10386.15917
MOKOPT19,19,1,4,9590.403691
MOKOPT19,20,1,2,9569.734717
MOKOPT19,21,1,8,5098.961938
MOKOPT19,22,1,9,4530.343714
MOKOPT19,23,1,7,6828.143022
MOKOPT19,24,1,12,2716.493656
MOKOPT19,25,1,14,5049.134948
MOKOPT19,26,1,1,4245.051903
MOKOPT19,27,1,2,6158.615917
MOKOPT20,1,1,5,5202.675894
MOKOPT20,2,1,11,3937.439446
MOKOPT20,3,1,4,45006.68973
MOKOPT20,4,1,9,4500.668973
MOKOPT20,4,1,7,7226.758939
MOKOPT20,6,1,8,4485.167243
MOKOPT20,7,1,4,5255.824683
MOKOPT20,8,1,11,6422.145329
MOKOPT20,9,1,6,4635.017301
MOKOPT20,10,1,2,5120
MOKOPT20,11,1,11,5155.432526
MOKOPT20,12,1,4,5220.392157
MOKOPT20,13,1,9,5899.515571
MOKOPT20,14,1,5,4598.846597
MOKOPT20,15,1,1,5137.716263
MOKOPT20,16,1,2,5232.202999
MOKOPT20,17,1,13,6422.145329
MOKOPT20,18,1,1,5285.351788
MOKOPT20,19,1,5,3990.588235
MOKOPT20,20,1,5,5979.238754
MOKOPT20,21,1,9,1999.723183
MOKOPT20,22,1,9,2565.905421
MOKOPT20,23,1,14,3906.435986
MOKOPT20,24,1,11,1993.079585
MOKOPT20,25,1,10,1982.00692
MOKOPT20,26,1,8,3986.15917
MOKOPT20,27,1,11,4567.843137
ABJOPT20,1,1,5,31896
ABJOPT20,2,1,11,62178
ABJOPT20,3,1,4,43632
ABJOPT20,4,1,9,32112
ABJOPT20,4,1,7,26910
ABJOPT20,6,1,8,24246
ABJOPT20,7,1,4,56843.4
ABJOPT20,8,1,11,66672
ABJOPT20,9,1,6,30960
ABJOPT20,10,1,2,43860
ABJOPT20,11,1,11,63576
ABJOPT20,12,1,4,43680
ABJOPT20,13,1,9,67080
ABJOPT20,14,1,5,47466
ABJOPT20,15,1,1,34281
ABJOPT20,16,1,2,53220
ABJOPT20,17,1,13,48546
ABJOPT20,18,1,1,36372
ABJOPT20,19,1,5,28305
ABJOPT20,20,1,5,36582
ABJOPT20,21,1,9,8256
ABJOPT20,22,1,9,7830
ABJOPT20,23,1,14,12915
ABJOPT20,24,1,11,26759.4
ABJOPT20,25,1,10,15600
ABJOPT20,26,1,8,32976
ABJOPT20,27,1,11,39420
MKLN19,1,2,27,5540.761246
MKLN19,2,2,21,8160.553633
MKLN19,3,2,19,3605.167243
MKLN19,4,2,27,8961.937716
MKLN19,4,2,22,6015.594002
MKLN19,6,2,21,7056.239908
MKLN19,7,2,17,3266.15917
MKLN19,8,2,28,7390.357555
MKLN19,9,2,22,9067.404844
MKLN19,10,2,27,6577.16263
MKLN19,11,2,26,2505.743945
MKLN19,12,2,24,2830.17301
MKLN19,13,2,15,3561.153403
MKLN19,14,2,25,3410.380623
MKLN19,15,2,22,5265.005767
MKLN19,16,2,16,5231.418685
MKLN19,17,2,26,4783.391003
MKLN19,18,2,17,2720
MKLN19,19,2,3,3629.803922
MKLN19,20,2,17,2092.733564
MKLN19,21,2,23,1641.89158
MKLN19,22,2,23,1940.023068
MKLN19,23,2,20,1641.89158
MKLN19,24,2,20,2473.49481
MKLN19,25,2,16,2068.235294
MKLN19,26,2,24,2316.44752
MKLN19,27,2,26,4581.038062
MKLN20,1,2,24,3484.290657
MKLN20,2,2,22,3774.394464
MKLN20,3,2,27,3507.266436
MKLN20,4,2,17,5487.797001
MKLN20,4,2,15,4118.93887
MKLN20,6,2,23,3492.318339
MKLN20,7,2,21,4413.148789
MKLN20,8,2,18,2580.11534
MKLN20,9,2,28,4676.401384
MKLN20,10,2,22,4439.584775
MKLN20,11,2,24,2151.787774
MKLN20,12,2,25,5909.296424
MKLN20,13,2,16,5137.347174
MKLN20,14,2,28,4087.889273
MKLN20,15,2,23,2969.688581
MKLN20,16,2,18,1975.409458
MKLN20,17,2,20,2607.197232
MKLN20,18,2,22,3083.044983
MKLN20,19,2,19,2502.422145
MKLN20,20,2,25,4203.091119
MKLN20,21,2,21,3347.635525
MKLN20,22,2,22,2204.844291
MKLN20,23,2,24,1454.948097
MKLN20,24,2,23,2092.272203
MKLN20,25,2,20,2144.775087
MKLN20,26,2,18,3117.139562
MKLN20,27,2,20,1867.589389
MKSTR20,1,2,24,7462.237601
MKSTR20,2,2,22,6665.743945
MKSTR20,3,2,27,3990.588235
MKSTR20,4,2,17,5032.525952
MKSTR20,4,2,15,3362.399077
MKSTR20,6,2,23,5391.649366
MKSTR20,7,2,21,5791.372549
MKSTR20,8,2,18,3658.039216
MKSTR20,9,2,28,3340.253749
MKSTR20,10,2,22,6975.778547
MKSTR20,11,2,24,5397.554787
MKSTR20,12,2,25,4686.689735
MKSTR20,13,2,16,2684.013841
MKSTR20,14,2,28,3662.099193
MKSTR20,15,2,23,5999.16955
MKSTR20,16,2,18,4733.194925
MKSTR20,17,2,20,3698.638985
MKSTR20,18,2,22,6702.652826
MKSTR20,19,2,19,4395.109573
MKSTR20,20,2,25,6416.608997
MKSTR20,21,2,21,2992.941176
MKSTR20,22,2,22,5015.916955
MKSTR20,23,2,24,2672.202999
MKSTR20,24,2,23,4034.878893
MKSTR20,25,2,20,3702.698962
MKSTR20,26,2,18,1343.483276
MKSTR20,27,2,20,5438.892734
ABJSTR20,1,2,24,8617.485582
ABJSTR20,2,2,22,7333.351788
ABJSTR20,3,2,27,7357.490196
ABJSTR20,4,2,17,3318.10842
ABJSTR20,4,2,15,4105.743945
ABJSTR20,6,2,23,6297.39331
ABJSTR20,7,2,21,3292.272203
ABJSTR20,8,2,18,2338.177624
ABJSTR20,9,2,28,6262.329873
ABJSTR20,10,2,22,6025.743945
ABJSTR20,11,2,24,5999.16955
ABJSTR20,12,2,25,6052.318339
ABJSTR20,13,2,16,2055.086505
ABJSTR20,14,2,28,5279.446367
ABJSTR20,15,2,23,4395.072664
ABJSTR20,16,2,18,3373.471742
ABJSTR20,17,2,20,6393.983852
ABJSTR20,18,2,22,5010.380623
ABJSTR20,19,2,19,4008.304498
ABJSTR20,20,2,25,3972.871972
ABJSTR20,21,2,21,1760.553633
ABJSTR20,22,2,22,2024.083045
ABJSTR20,23,2,24,3362.399077
ABJSTR20,24,2,23,2913.882353
ABJSTR20,25,2,20,1629.527105
ABJSTR20,26,2,18,3052.733564
ABJSTR20,27,2,20,3941.868512
MOKOPT19,1,2,26,10842.35294
MOKOPT19,2,2,20,10700.62284
MOKOPT19,3,2,18,13671.0496
MOKOPT19,4,2,26,10352.94118
MOKOPT19,4,2,21,9394.786621
MOKOPT19,6,2,20,11520
MOKOPT19,7,2,16,6466.435986
MOKOPT19,8,2,26,10352.94118
MOKOPT19,9,2,21,8255.778547
MOKOPT19,10,2,26,9683.414072
MOKOPT19,11,2,25,8317.785467
MOKOPT19,12,2,23,6569.780854
MOKOPT19,13,2,15,8618.22376
MOKOPT19,14,2,24,12383.66782
MOKOPT19,15,2,21,6562.399077
MOKOPT19,16,2,15,7519.077278
MOKOPT19,17,2,24,8972.54902
MOKOPT19,18,2,16,8479.815456
MOKOPT19,19,2,27,9965.028835
MOKOPT19,20,2,16,8521.522491
MOKOPT19,21,2,23,4127.889273
MOKOPT19,22,2,23,6924.106113
MOKOPT19,23,2,21,4110.17301
MOKOPT19,24,2,20,4800.369089
MOKOPT19,25,2,17,5159.861592
MOKOPT19,26,2,23,5278.3391
MOKOPT19,27,2,25,3836.678201
MOKOPT20,1,2,24,7234.878893
MOKOPT20,2,2,22,5114.094579
MOKOPT20,3,2,27,6422.145329
MOKOPT20,4,2,17,7210.519031
MOKOPT20,4,2,15,6451.672434
MOKOPT20,6,2,23,5084.567474
MOKOPT20,7,2,21,6569.780854
MOKOPT20,8,2,18,7080.599769
MOKOPT20,9,2,28,7153.679354
MOKOPT20,10,2,22,5149.527105
MOKOPT20,11,2,24,5226.297578
MOKOPT20,12,2,25,6650.980392
MOKOPT20,13,2,16,7137.439446
MOKOPT20,14,2,28,6429.527105
MOKOPT20,15,2,23,7936.885813
MOKOPT20,16,2,18,5149.527105
MOKOPT20,17,2,20,5249.919262
MOKOPT20,18,2,22,6569.780854
MOKOPT20,19,2,19,5859.653979
MOKOPT20,20,2,25,5866.297578
MOKOPT20,21,2,21,3303.344867
MOKOPT20,22,2,22,2657.439446
MOKOPT20,23,2,24,3924.152249
MOKOPT20,24,2,23,3211.072664
MOKOPT20,25,2,20,3236.908881
MOKOPT20,26,2,18,7251.1188
MOKOPT20,27,2,20,5819.792388
ABJOPT20,1,2,24,59928
ABJOPT20,2,2,22,63350.1
ABJOPT20,3,2,27,55752
ABJOPT20,4,2,17,37884
ABJOPT20,4,2,15,61456.8
ABJOPT20,6,2,23,37968
ABJOPT20,7,2,21,64728
ABJOPT20,8,2,18,32103
ABJOPT20,9,2,28,59730
ABJOPT20,10,2,22,59862
ABJOPT20,11,2,24,53460
ABJOPT20,12,2,25,37674
ABJOPT20,13,2,16,52200
ABJOPT20,14,2,28,37674
ABJOPT20,15,2,23,69342
ABJOPT20,16,2,18,54747
ABJOPT20,17,2,20,56385
ABJOPT20,18,2,22,37674
ABJOPT20,19,2,19,78019.2
ABJOPT20,20,2,25,49032
ABJOPT20,21,2,21,26610
ABJOPT20,22,2,22,32040
ABJOPT20,23,2,24,21504
ABJOPT20,24,2,23,16795.8
ABJOPT20,25,2,20,8267.7
ABJOPT20,26,2,18,34125
ABJOPT20,27,2,20,23490
