"name","TL","TW","PTL","LR","PH","NB","PW","NP","PL","POW","LPP","SW","SL","SOW","ST"
"TPv-761",11.8133333333333,7.93333333333333,8.51333333333333,12.1666666666667,82.0333333333333,5.13333333333333,4.08333333333333,9.5,9.48,7.42866666666667,4.8,1.43333333333333,8.512,5.67266666666667,4.64066666666667
"TPv-850",9.99,6.77,7.48,10.14,120.5,5.7,5.125,12,10.02,7.458,5.1,1.88333333333333,10.735,5.829,3.675
"TPv-853",10.56,7.14666666666667,8.23333333333333,11.28,94.6266666666667,5.26666666666667,6.50888888888889,12.3388888888889,8.86,9.22266666666667,3.73333333333333,3.215,8.97533333333333,6.856,4.74866666666667
"TPv-859",11.18,8.09,8.09,11.17,107.215,4.2,8.41666666666667,18.6666666666667,10.21,9.389,3.9,2.51666666666667,10.266,5.904,3.866
"TPv-860",9.04666666666667,6.78666666666667,6.01333333333333,8.73333333333333,102.466666666667,5.6,4.52666666666667,11.0666666666667,8.88,10.39,2.73333333333333,1.59333333333333,8.06066666666667,5.826,4.24533333333333
"TPv-865",10.72,8.15,8.81,12.11,100.26,6.4,9.715,15.4,8.79,7.921,4.1,6.0425,9.718,6.974,5.436
"TPv-874",10.1533333333333,7.92666666666667,6.68666666666667,9.76666666666667,91.44,5.8,15.4577777777778,20.2888888888889,8.59333333333333,9.66666666666667,3.26666666666667,8.90222222222222,8.76133333333333,6.642,5.59266666666667
"TPv-875",12.2,9.88,10,13.48,111.54,6.4,2.9,7,7.96,9.532,2.2,1,10.394,6.038,3.892
"TPv-885",10.86,7.31333333333333,7.8,10.0733333333333,31.8266666666667,7.37777777777778,9.17333333333333,15.0166666666667,10.0733333333333,7.66466666666667,5.53333333333333,5.18333333333333,8.84533333333333,5.86666666666667,4.85133333333333
"TPv-886",10.8466666666667,7.89333333333333,6.85333333333333,10.2133333333333,70.4733333333333,7.66666666666667,16.4883333333333,17.0166666666667,9.83333333333333,8.08133333333333,4,9.215,10.3506666666667,6.97133333333333,5.35933333333333
"TPv-904",11.68,8.78,8.69,11.88,107.38,5.1,3.50833333333333,7.33333333333333,8.5,9.107,3.5,1.5,8.756,6.539,5.212
"TPv-905",9.90666666666667,7.40666666666667,8.17333333333333,11.0733333333333,70.8933333333333,6.26666666666667,6.16666666666667,12.3333333333333,11.84,8.828,5,2.16666666666667,9.378,6.52533333333333,4.538
"TPv-906",10.82,8.5,6.82,9.86,138.82,3.8,7.7,17,11.04,8.452,3.8,0.65,8.896,5.298,2.642
"TPv-909",9.89,5.88,5.41,8.13,90.51,4.4,2.88333333333333,3.83333333333333,9.58,8.701,2.4,1.43333333333333,9.627,7.377,5.316
"TPv-942",11.4266666666667,7.91333333333333,9.09333333333333,12.1133333333333,37.0283333333333,6.24444444444444,6.35,10.1666666666667,9.86,7.50766666666667,4.33333333333333,3.28333333333333,8.63466666666667,5.93266666666667,4.64666666666667
"TPv-944",11.6333333333333,8.28666666666667,7.82,18,76.8266666666667,6.26666666666667,6.80333333333333,15.4666666666667,9.78666666666667,7.61533333333333,4.93333333333333,2.86333333333333,9.03,5.86933333333333,5.02933333333333
"TPv-945",12.5333333333333,9.70666666666667,8.64666666666667,11.9666666666667,93.7666666666667,5.6,9.23333333333333,16,11.12,8.30133333333333,5.06666666666667,4.13333333333333,8.52133333333333,6.556,4.20933333333333
"TPv-948",11.37,8.52,7.83,10.92,96.23,7.225,15.75,15.0833333333333,11.49,7.801,4.95,9.94166666666667,8.83,6.631,5.15
"TPv-949",10.23,6.98,8.15,10.98,53.27,6.25,2.9,13,8.90666666666667,8.42266666666667,4.13333333333333,0.55,7.057,5.23,3.413
